Cycle,Stree_A,PriorityLampA,Stree_B,PriorityLampB
          0,4,0,1,1
          1,1,1,1,1
          2,1,1,1,1
          3,1,1,1,1
          4,1,1,1,1
          5,1,1,1,1
          6,1,1,1,1
          7,1,1,4,0
          8,1,1,4,0
          9,1,1,4,0
         10,1,1,4,0
         11,1,1,4,0
         12,1,1,4,0
         13,1,1,4,0
         14,1,1,4,0
         15,1,1,4,0
         16,1,1,4,0
         17,1,1,4,0
         18,1,1,4,0
         19,1,1,4,0
         20,1,1,4,0
         21,1,1,4,0
         22,1,1,4,0
         23,1,1,4,0
         24,1,1,4,0
         25,1,1,4,0
         26,1,1,4,0
         27,1,1,4,0
         28,1,1,4,0
         29,1,1,4,0
         30,1,1,4,0
         31,1,1,4,0
         32,1,1,4,0
         33,1,1,4,0
         34,1,1,4,0
         35,1,1,4,0
         36,1,1,4,0
         37,1,1,4,0
         38,1,1,4,0
         39,1,1,2,0
         40,1,1,2,0
         41,1,1,2,0
         42,1,1,2,0
         43,1,1,2,0
         44,1,1,2,0
         45,1,1,2,0
         46,1,1,2,0
         47,1,1,2,0
         48,1,1,2,0
         49,1,1,2,0
         50,1,1,2,0
         51,1,1,1,1
         52,1,1,1,1
         53,1,1,1,1
         54,1,1,1,1
         55,1,1,1,1
         56,1,1,1,1
         57,4,0,1,1
         58,4,0,1,1
         59,4,0,1,1
         60,4,0,1,1
         61,4,0,1,1
         62,4,0,1,1
         63,4,0,1,1
         64,4,0,1,1
         65,4,0,1,1
         66,4,0,1,1
         67,4,0,1,1
         68,4,0,1,1
         69,4,0,1,1
         70,4,0,1,1
         71,4,0,1,1
         72,4,0,1,1
         73,4,0,1,1
         74,4,0,1,1
         75,4,0,1,1
         76,4,0,1,1
         77,4,0,1,1
         78,4,0,1,1
         79,4,0,1,1
         80,4,0,1,1
         81,4,0,1,1
         82,4,0,1,1
         83,4,0,1,1
         84,4,0,1,1
         85,4,0,1,1
         86,4,0,1,1
         87,4,0,1,1
         88,4,0,1,1
         89,2,0,1,1
         90,2,0,1,1
         91,2,0,1,1
         92,2,0,1,1
         93,2,0,1,1
         94,2,0,1,1
         95,2,0,1,1
         96,2,0,1,1
         97,2,0,1,1
         98,2,0,1,1
         99,2,0,1,1
        100,2,0,1,1
        101,1,1,1,1
        102,1,1,1,1
        103,1,1,1,1
        104,1,1,1,1
        105,1,1,1,1
        106,1,1,1,1
        107,1,1,4,0
        108,1,1,4,0
        109,1,1,4,0
        110,1,1,4,0
        111,1,1,4,0
        112,1,1,4,0
        113,1,1,4,0
        114,1,1,4,0
        115,1,1,4,0
        116,1,1,4,0
        117,1,1,4,0
        118,1,1,4,0
        119,1,1,4,0
        120,1,1,4,0
        121,1,1,4,0
        122,1,1,4,0
        123,1,1,4,0
        124,1,1,4,0
        125,1,1,4,0
        126,1,1,4,0
        127,1,1,4,0
        128,1,1,4,0
        129,1,1,4,0
        130,1,1,4,0
        131,1,1,4,0
        132,1,1,4,0
        133,1,1,4,0
        134,1,1,4,0
        135,1,1,4,0
        136,1,1,4,0
        137,1,1,4,0
        138,1,1,4,0
        139,1,1,2,0
        140,1,1,2,0
        141,1,1,2,0
        142,1,1,2,0
        143,1,1,2,0
        144,1,1,2,0
        145,1,1,2,0
        146,1,1,2,0
        147,1,1,2,0
        148,1,1,2,0
        149,1,1,2,0
        150,1,1,2,0
        151,1,1,1,1
        152,1,1,1,1
        153,1,1,1,1
        154,1,1,1,1
        155,1,1,1,1
        156,1,1,1,1
        157,4,0,1,1
        158,4,0,1,1
        159,4,0,1,1
        160,4,0,1,1
        161,4,0,1,1
        162,4,0,1,1
        163,4,0,1,1
        164,4,0,1,1
        165,4,0,1,1
        166,4,0,1,1
        167,4,0,1,1
        168,4,0,1,1
        169,4,0,1,1
        170,4,0,1,1
        171,4,0,1,1
        172,4,0,1,1
        173,4,0,1,1
        174,4,0,1,1
        175,4,0,1,1
        176,4,0,1,1
        177,4,0,1,1
        178,4,0,1,1
        179,4,0,1,1
        180,4,0,1,1
        181,4,0,1,1
        182,4,0,1,1
        183,4,0,1,1
        184,4,0,1,1
        185,4,0,1,1
        186,4,0,1,1
        187,4,0,1,1
        188,4,0,1,1
        189,2,0,1,1
        190,2,0,1,1
        191,2,0,1,1
        192,2,0,1,1
        193,2,0,1,1
        194,2,0,1,1
        195,2,0,1,1
        196,2,0,1,1
        197,2,0,1,1
        198,2,0,1,1
        199,2,0,1,1
        200,2,0,1,1
        201,1,1,1,1
        202,1,1,1,1
        203,1,1,1,1
        204,1,1,1,1
        205,1,1,1,1
        206,1,1,1,1
        207,1,1,4,0
        208,1,1,4,0
        209,1,1,4,0
        210,1,1,4,0
        211,1,1,4,0
        212,1,1,4,0
        213,1,1,4,0
        214,1,1,4,0
        215,1,1,4,0
        216,1,1,4,0
        217,1,1,4,0
        218,1,1,4,0
        219,1,1,4,0
        220,1,1,4,0
        221,1,1,4,0
        222,1,1,4,0
        223,1,1,4,0
        224,1,1,4,0
        225,1,1,4,0
        226,1,1,4,0
        227,1,1,4,0
        228,1,1,4,0
        229,1,1,4,0
        230,1,1,4,0
        231,1,1,4,0
        232,1,1,4,0
        233,1,1,4,0
        234,1,1,4,0
        235,1,1,4,0
        236,1,1,4,0
        237,1,1,4,0
        238,1,1,4,0
        239,1,1,2,0
        240,1,1,2,0
        241,1,1,2,0
        242,1,1,2,0
        243,1,1,2,0
        244,1,1,2,0
        245,1,1,2,0
        246,1,1,2,0
        247,1,1,2,0
        248,1,1,2,0
        249,1,1,2,0
        250,1,1,2,0
        251,1,1,1,1
        252,1,1,1,1
        253,1,1,1,1
        254,1,1,1,1
        255,1,1,1,1
        256,1,1,1,1
        257,4,0,1,1
        258,4,0,1,1
        259,4,0,1,1
        260,4,0,1,1
        261,4,0,1,1
        262,4,0,1,1
        263,4,0,1,1
        264,4,0,1,1
        265,4,0,1,1
        266,4,0,1,1
        267,4,0,1,1
        268,4,0,1,1
        269,4,0,1,1
        270,4,0,1,1
        271,4,0,1,1
        272,4,0,1,1
        273,4,0,1,1
        274,4,0,1,1
        275,4,0,1,1
        276,4,0,1,1
        277,4,0,1,1
        278,4,0,1,1
        279,4,0,1,1
        280,4,0,1,1
        281,4,0,1,1
        282,4,0,1,1
        283,4,0,1,1
        284,4,0,1,1
        285,4,0,1,1
        286,4,0,1,1
        287,4,0,1,1
        288,4,0,1,1
        289,2,0,1,1
        290,2,0,1,1
        291,2,0,1,1
        292,2,0,1,1
        293,2,0,1,1
        294,2,0,1,1
        295,2,0,1,1
        296,2,0,1,1
        297,2,0,1,1
        298,2,0,1,1
        299,2,0,1,1
        300,2,0,1,1
        301,1,1,1,1
        302,1,1,1,1
        303,1,1,1,1
        304,1,1,1,1
        305,1,1,1,1
        306,1,1,1,1
        307,1,1,4,0
        308,1,1,4,0
        309,1,1,4,0
        310,1,1,4,0
        311,1,1,4,0
        312,1,1,4,0
        313,1,1,4,0
        314,1,1,4,0
        315,1,1,4,0
        316,1,1,4,0
        317,1,1,4,0
        318,1,1,4,0
        319,1,1,4,0
        320,1,1,4,0
        321,1,1,4,0
        322,1,1,4,0
        323,1,1,4,0
        324,1,1,4,0
        325,1,1,4,0
        326,1,1,4,0
        327,1,1,4,0
        328,1,1,4,0
        329,1,1,4,0
        330,1,1,4,0
        331,1,1,4,0
        332,1,1,4,0
        333,1,1,4,0
        334,1,1,4,0
        335,1,1,4,0
        336,1,1,4,0
        337,1,1,4,0
        338,1,1,4,0
        339,1,1,2,0
        340,1,1,2,0
        341,1,1,2,0
        342,1,1,2,0
        343,1,1,2,0
        344,1,1,2,0
        345,1,1,2,0
        346,1,1,2,0
        347,1,1,2,0
        348,1,1,2,0
        349,1,1,2,0
        350,1,1,2,0
        351,1,1,1,1
        352,1,1,1,1
        353,1,1,1,1
        354,1,1,1,1
        355,1,1,1,1
        356,1,1,1,1
        357,4,0,1,1
        358,4,0,1,1
        359,4,0,1,1
        360,4,0,1,1
        361,4,0,1,1
        362,4,0,1,1
        363,4,0,1,1
        364,4,0,1,1
        365,4,0,1,1
        366,4,0,1,1
        367,4,0,1,1
        368,4,0,1,1
        369,4,0,1,1
        370,4,0,1,1
        371,4,0,1,1
        372,4,0,1,1
        373,4,0,1,1
        374,4,0,1,1
        375,4,0,1,1
        376,4,0,1,1
        377,4,0,1,1
        378,4,0,1,1
        379,4,0,1,1
        380,4,0,1,1
        381,4,0,1,1
        382,4,0,1,1
        383,4,0,1,1
        384,4,0,1,1
        385,4,0,1,1
        386,4,0,1,1
        387,4,0,1,1
        388,4,0,1,1
        389,2,0,1,1
        390,2,0,1,1
        391,2,0,1,1
        392,2,0,1,1
        393,2,0,1,1
        394,2,0,1,1
        395,2,0,1,1
        396,2,0,1,1
        397,2,0,1,1
        398,2,0,1,1
        399,2,0,1,1
        400,2,0,1,1
        401,1,1,1,1
        402,1,1,1,1
        403,1,1,1,1
        404,1,1,1,1
        405,1,1,1,1
        406,1,1,1,1
        407,1,1,4,0
        408,1,1,4,0
        409,1,1,4,0
        410,1,1,4,0
        411,1,1,4,0
        412,1,1,4,0
        413,1,1,4,0
        414,1,1,4,0
        415,1,1,4,0
        416,1,1,4,0
        417,1,1,4,0
        418,1,1,4,0
        419,1,1,4,0
        420,1,1,4,0
        421,1,1,4,0
        422,1,1,4,0
        423,1,1,4,0
        424,1,1,4,0
        425,1,1,4,0
        426,1,1,4,0
        427,1,1,4,0
        428,1,1,4,0
        429,1,1,4,0
        430,1,1,4,0
        431,1,1,4,0
        432,1,1,4,0
        433,1,1,4,0
        434,1,1,4,0
        435,1,1,4,0
        436,1,1,4,0
        437,1,1,4,0
        438,1,1,4,0
        439,1,1,2,0
        440,1,1,2,0
        441,1,1,2,0
        442,1,1,2,0
        443,1,1,2,0
        444,1,1,2,0
        445,1,1,2,0
        446,1,1,2,0
        447,1,1,2,0
        448,1,1,2,0
        449,1,1,2,0
        450,1,1,2,0
        451,1,1,1,1
        452,1,1,1,1
        453,1,1,1,1
        454,1,1,1,1
        455,1,1,1,1
        456,1,1,1,1
        457,4,0,1,1
        458,4,0,1,1
        459,4,0,1,1
        460,4,0,1,1
        461,4,0,1,1
        462,4,0,1,1
        463,4,0,1,1
        464,4,0,1,1
        465,4,0,1,1
        466,4,0,1,1
        467,4,0,1,1
        468,4,0,1,1
        469,4,0,1,1
        470,4,0,1,1
        471,4,0,1,1
        472,4,0,1,1
        473,4,0,1,1
        474,4,0,1,1
        475,4,0,1,1
        476,4,0,1,1
        477,4,0,1,1
        478,4,0,1,1
        479,4,0,1,1
        480,4,0,1,1
        481,4,0,1,1
        482,4,0,1,1
        483,4,0,1,1
        484,4,0,1,1
        485,4,0,1,1
        486,4,0,1,1
        487,4,0,1,1
        488,4,0,1,1
        489,2,0,1,1
        490,2,0,1,1
        491,2,0,1,1
        492,2,0,1,1
        493,2,0,1,1
        494,2,0,1,1
        495,2,0,1,1
        496,2,0,1,1
        497,2,0,1,1
        498,2,0,1,1
        499,2,0,1,1
        500,2,0,1,1
        501,1,1,1,1
        502,1,1,1,1
        503,1,1,1,1
        504,1,1,1,1
        505,1,1,1,1
        506,1,1,1,1
        507,1,1,4,0
        508,1,1,4,0
        509,1,1,4,0
        510,1,1,4,0
        511,1,1,4,0
        512,1,1,4,0
        513,1,1,4,0
        514,1,1,4,0
        515,1,1,4,0
        516,1,1,4,0
        517,1,1,4,0
        518,1,1,4,0
        519,1,1,4,0
        520,1,1,4,0
        521,1,1,4,0
        522,1,1,4,0
        523,1,1,4,0
        524,1,1,4,0
        525,1,1,4,0
        526,1,1,4,0
        527,1,1,4,0
        528,1,1,4,0
        529,1,1,4,0
        530,1,1,4,0
        531,1,1,4,0
        532,1,1,4,0
        533,1,1,4,0
        534,1,1,4,0
        535,1,1,4,0
        536,1,1,4,0
        537,1,1,4,0
        538,1,1,4,0
        539,1,1,2,0
        540,1,1,2,0
        541,1,1,2,0
        542,1,1,2,0
        543,1,1,2,0
        544,1,1,2,0
        545,1,1,2,0
        546,1,1,2,0
        547,1,1,2,0
        548,1,1,2,0
        549,1,1,2,0
        550,1,1,2,0
        551,1,1,1,1
        552,1,1,1,1
        553,1,1,1,1
        554,1,1,1,1
        555,1,1,1,1
        556,1,1,1,1
        557,4,0,1,1
        558,4,0,1,1
        559,4,0,1,1
        560,4,0,1,1
        561,4,0,1,1
        562,4,0,1,1
        563,4,0,1,1
        564,4,0,1,1
        565,4,0,1,1
        566,4,0,1,1
        567,4,0,1,1
        568,4,0,1,1
        569,4,0,1,1
        570,4,0,1,1
        571,4,0,1,1
        572,4,0,1,1
        573,4,0,1,1
        574,4,0,1,1
        575,4,0,1,1
        576,4,0,1,1
        577,4,0,1,1
        578,4,0,1,1
        579,4,0,1,1
        580,4,0,1,1
        581,4,0,1,1
        582,4,0,1,1
        583,4,0,1,1
        584,4,0,1,1
        585,4,0,1,1
        586,4,0,1,1
        587,4,0,1,1
        588,4,0,1,1
        589,2,0,1,1
        590,2,0,1,1
        591,2,0,1,1
        592,2,0,1,1
        593,2,0,1,1
        594,2,0,1,1
        595,2,0,1,1
        596,2,0,1,1
        597,2,0,1,1
        598,2,0,1,1
        599,2,0,1,1
        600,2,0,1,1
        601,1,1,1,1
        602,1,1,1,1
        603,1,1,1,1
        604,1,1,1,1
        605,1,1,1,1
        606,1,1,1,1
        607,1,1,4,0
        608,1,1,4,0
        609,1,1,4,0
        610,1,1,4,0
        611,1,1,4,0
        612,1,1,4,0
        613,1,1,4,0
        614,1,1,4,0
        615,1,1,4,0
        616,1,1,4,0
        617,1,1,4,0
        618,1,1,4,0
        619,1,1,4,0
        620,1,1,4,0
        621,1,1,4,0
        622,1,1,4,0
        623,1,1,4,0
        624,1,1,4,0
        625,1,1,4,0
        626,1,1,4,0
        627,1,1,4,0
        628,1,1,4,0
        629,1,1,4,0
        630,1,1,4,0
        631,1,1,4,0
        632,1,1,4,0
        633,1,1,4,0
        634,1,1,4,0
        635,1,1,4,0
        636,1,1,4,0
        637,1,1,4,0
        638,1,1,4,0
        639,1,1,2,0
        640,1,1,2,0
        641,1,1,2,0
        642,1,1,2,0
        643,1,1,2,0
        644,1,1,2,0
        645,1,1,2,0
        646,1,1,2,0
        647,1,1,2,0
        648,1,1,2,0
        649,1,1,2,0
        650,1,1,2,0
        651,1,1,1,1
        652,1,1,1,1
        653,1,1,1,1
        654,1,1,1,1
        655,1,1,1,1
        656,1,1,1,1
        657,4,0,1,1
        658,4,0,1,1
        659,4,0,1,1
        660,4,0,1,1
        661,4,0,1,1
        662,4,0,1,1
        663,4,0,1,1
        664,4,0,1,1
        665,4,0,1,1
        666,4,0,1,1
        667,4,0,1,1
        668,4,0,1,1
        669,4,0,1,1
        670,4,0,1,1
        671,4,0,1,1
        672,4,0,1,1
        673,4,0,1,1
        674,4,0,1,1
        675,4,0,1,1
        676,4,0,1,1
        677,4,0,1,1
        678,4,0,1,1
        679,4,0,1,1
        680,4,0,1,1
        681,4,0,1,1
        682,4,0,1,1
        683,4,0,1,1
        684,4,0,1,1
        685,4,0,1,1
        686,4,0,1,1
        687,4,0,1,1
        688,4,0,1,1
        689,2,0,1,1
        690,2,0,1,1
        691,2,0,1,1
        692,2,0,1,1
        693,2,0,1,1
        694,2,0,1,1
        695,2,0,1,1
        696,2,0,1,1
        697,2,0,1,1
        698,2,0,1,1
        699,2,0,1,1
        700,2,0,1,1
        701,1,1,1,1
        702,1,1,1,1
        703,1,1,1,1
        704,1,1,1,1
        705,1,1,1,1
        706,1,1,1,1
        707,1,1,4,0
        708,1,1,4,0
        709,1,1,4,0
        710,1,1,4,0
        711,1,1,4,0
        712,1,1,4,0
        713,1,1,4,0
        714,1,1,4,0
        715,1,1,4,0
        716,1,1,4,0
        717,1,1,4,0
        718,1,1,4,0
        719,1,1,4,0
        720,1,1,4,0
        721,1,1,4,0
        722,1,1,4,0
        723,1,1,4,0
        724,1,1,4,0
        725,1,1,4,0
        726,1,1,4,0
        727,1,1,4,0
        728,1,1,4,0
        729,1,1,4,0
        730,1,1,4,0
        731,1,1,4,0
        732,1,1,4,0
        733,1,1,4,0
        734,1,1,4,0
        735,1,1,4,0
        736,1,1,4,0
        737,1,1,4,0
        738,1,1,4,0
        739,1,1,2,0
        740,1,1,2,0
        741,1,1,2,0
        742,1,1,2,0
        743,1,1,2,0
        744,1,1,2,0
        745,1,1,2,0
        746,1,1,2,0
        747,1,1,2,0
        748,1,1,2,0
        749,1,1,2,0
        750,1,1,2,0
        751,1,1,1,1
        752,1,1,1,1
        753,1,1,1,1
        754,1,1,1,1
        755,1,1,1,1
        756,1,1,1,1
        757,4,0,1,1
        758,4,0,1,1
        759,4,0,1,1
        760,4,0,1,1
        761,4,0,1,1
        762,4,0,1,1
        763,4,0,1,1
        764,4,0,1,1
        765,4,0,1,1
        766,4,0,1,1
        767,4,0,1,1
        768,4,0,1,1
        769,4,0,1,1
        770,4,0,1,1
        771,4,0,1,1
        772,4,0,1,1
        773,4,0,1,1
        774,4,0,1,1
        775,4,0,1,1
        776,4,0,1,1
        777,4,0,1,1
        778,4,0,1,1
        779,4,0,1,1
        780,4,0,1,1
        781,4,0,1,1
        782,4,0,1,1
        783,4,0,1,1
        784,4,0,1,1
        785,4,0,1,1
        786,4,0,1,1
        787,4,0,1,1
        788,4,0,1,1
        789,2,0,1,1
        790,2,0,1,1
        791,2,0,1,1
        792,2,0,1,1
        793,2,0,1,1
        794,2,0,1,1
        795,2,0,1,1
        796,2,0,1,1
        797,2,0,1,1
        798,2,0,1,1
        799,2,0,1,1
        800,2,0,1,1
        801,1,1,1,1
        802,1,1,1,1
        803,1,1,1,1
        804,1,1,1,1
        805,1,1,1,1
        806,1,1,1,1
        807,1,1,4,0
        808,1,1,4,0
        809,1,1,4,0
        810,1,1,4,0
        811,1,1,4,0
        812,1,1,4,0
        813,1,1,4,0
        814,1,1,4,0
        815,1,1,4,0
        816,1,1,4,0
        817,1,1,4,0
        818,1,1,4,0
        819,1,1,4,0
        820,1,1,4,0
        821,1,1,4,0
        822,1,1,4,0
        823,1,1,4,0
        824,1,1,4,0
        825,1,1,4,0
        826,1,1,4,0
        827,1,1,4,0
        828,1,1,4,0
        829,1,1,4,0
        830,1,1,4,0
        831,1,1,4,0
        832,1,1,4,0
        833,1,1,4,0
        834,1,1,4,0
        835,1,1,4,0
        836,1,1,4,0
        837,1,1,4,0
        838,1,1,4,0
        839,1,1,2,0
        840,1,1,2,0
        841,1,1,2,0
        842,1,1,2,0
        843,1,1,2,0
        844,1,1,2,0
        845,1,1,2,0
        846,1,1,2,0
        847,1,1,2,0
        848,1,1,2,0
        849,1,1,2,0
        850,1,1,2,0
        851,1,1,1,1
        852,1,1,1,1
        853,1,1,1,1
        854,1,1,1,1
        855,1,1,1,1
        856,1,1,1,1
        857,4,0,1,1
        858,4,0,1,1
        859,4,0,1,1
        860,4,0,1,1
        861,4,0,1,1
        862,4,0,1,1
        863,4,0,1,1
        864,4,0,1,1
        865,4,0,1,1
        866,4,0,1,1
        867,4,0,1,1
        868,4,0,1,1
        869,4,0,1,1
        870,4,0,1,1
        871,4,0,1,1
        872,4,0,1,1
        873,4,0,1,1
        874,4,0,1,1
        875,4,0,1,1
        876,4,0,1,1
        877,4,0,1,1
        878,4,0,1,1
        879,4,0,1,1
        880,4,0,1,1
        881,4,0,1,1
        882,4,0,1,1
        883,4,0,1,1
        884,4,0,1,1
        885,4,0,1,1
        886,4,0,1,1
        887,4,0,1,1
        888,4,0,1,1
        889,2,0,1,1
        890,2,0,1,1
        891,2,0,1,1
        892,2,0,1,1
        893,2,0,1,1
        894,2,0,1,1
        895,2,0,1,1
        896,2,0,1,1
        897,2,0,1,1
        898,2,0,1,1
        899,2,0,1,1
        900,2,0,1,1
        901,1,1,1,1
        902,1,1,1,1
        903,1,1,1,1
        904,1,1,1,1
        905,1,1,1,1
        906,1,1,1,1
        907,1,1,4,0
        908,1,1,4,0
        909,1,1,4,0
        910,1,1,4,0
        911,1,1,4,0
        912,1,1,4,0
        913,1,1,4,0
        914,1,1,4,0
        915,1,1,4,0
        916,1,1,4,0
        917,1,1,4,0
        918,1,1,4,0
        919,1,1,4,0
        920,1,1,4,0
        921,1,1,4,0
        922,1,1,4,0
        923,1,1,4,0
        924,1,1,4,0
        925,1,1,4,0
        926,1,1,4,0
        927,1,1,4,0
        928,1,1,4,0
        929,1,1,4,0
        930,1,1,4,0
        931,1,1,4,0
        932,1,1,4,0
        933,1,1,4,0
        934,1,1,4,0
        935,1,1,4,0
        936,1,1,4,0
        937,1,1,4,0
        938,1,1,4,0
        939,1,1,2,0
        940,1,1,2,0
        941,1,1,2,0
        942,1,1,2,0
        943,1,1,2,0
        944,1,1,2,0
        945,1,1,2,0
        946,1,1,2,0
        947,1,1,2,0
        948,1,1,2,0
        949,1,1,2,0
        950,1,1,2,0
        951,1,1,1,1
        952,1,1,1,1
        953,1,1,1,1
        954,1,1,1,1
        955,1,1,1,1
        956,1,1,1,1
        957,4,0,1,1
        958,4,0,1,1
        959,4,0,1,1
        960,4,0,1,1
        961,4,0,1,1
        962,4,0,1,1
        963,4,0,1,1
        964,4,0,1,1
        965,4,0,1,1
        966,4,0,1,1
        967,4,0,1,1
        968,4,0,1,1
        969,4,0,1,1
        970,4,0,1,1
        971,4,0,1,1
        972,4,0,1,1
        973,4,0,1,1
        974,4,0,1,1
        975,4,0,1,1
        976,4,0,1,1
        977,4,0,1,1
        978,4,0,1,1
        979,4,0,1,1
        980,4,0,1,1
        981,4,0,1,1
        982,4,0,1,1
        983,4,0,1,1
        984,4,0,1,1
        985,4,0,1,1
        986,4,0,1,1
        987,4,0,1,1
        988,4,0,1,1
        989,2,0,1,1
        990,2,0,1,1
        991,2,0,1,1
        992,2,0,1,1
        993,2,0,1,1
        994,2,0,1,1
        995,2,0,1,1
        996,2,0,1,1
        997,2,0,1,1
        998,2,0,1,1
        999,2,0,1,1
